"Date","Price","Open","High","Low","Change %"
"Jan 07, 2013","1.3117","1.3072","1.3121","1.3018","0.37"
"Jan 08, 2013","1.3083","1.3116","1.3142","1.3058","-0.26"
"Jan 09, 2013","1.3064","1.3081","1.3096","1.3037","-0.15"
"Jan 10, 2013","1.3271","1.3065","1.3273","1.3039","1.58"
"Jan 11, 2013","1.3344","1.3272","1.3366","1.3248","0.55"
"Jan 14, 2013","1.3383","1.3340","1.3404","1.3334","0.29"
"Jan 15, 2013","1.3304","1.3382","1.3394","1.3268","-0.59"
"Jan 16, 2013","1.3290","1.3304","1.3325","1.3257","-0.11"
"Jan 17, 2013","1.3377","1.3291","1.3390","1.3271","0.65"
"Jan 18, 2013","1.3319","1.3377","1.3403","1.3281","-0.43"
"Jan 21, 2013","1.3314","1.3321","1.3333","1.3300","-0.04"
"Jan 22, 2013","1.3321","1.3312","1.3373","1.3268","0.05"
"Jan 23, 2013","1.3318","1.3321","1.3356","1.3265","-0.02"
"Jan 24, 2013","1.3376","1.3319","1.3394","1.3287","0.44"
"Jan 25, 2013","1.3462","1.3377","1.3481","1.3350","0.64"
"Jan 28, 2013","1.3456","1.3464","1.3478","1.3424","-0.04"
"Jan 29, 2013","1.3493","1.3455","1.3498","1.3415","0.27"
"Jan 30, 2013","1.3568","1.3491","1.3588","1.3481","0.56"
"Jan 31, 2013","1.3579","1.3567","1.3594","1.3540","0.08"
"Feb 01, 2013","1.3640","1.3577","1.3712","1.3572","0.45"
"Feb 04, 2013","1.3514","1.3642","1.3659","1.3504","-0.92"
"Feb 05, 2013","1.3584","1.3514","1.3599","1.3459","0.52"
"Feb 06, 2013","1.3523","1.3584","1.3598","1.3495","-0.45"
"Feb 07, 2013","1.3396","1.3521","1.3577","1.3369","-0.94"
"Feb 08, 2013","1.3365","1.3398","1.3431","1.3354","-0.23"
"Feb 11, 2013","1.3407","1.3359","1.3428","1.3325","0.31"
"Feb 12, 2013","1.3454","1.3406","1.3476","1.3365","0.35"
"Feb 13, 2013","1.3453","1.3453","1.3521","1.3426","-0.01"
"Feb 14, 2013","1.3361","1.3451","1.3456","1.3314","-0.68"
"Feb 15, 2013","1.3363","1.3363","1.3394","1.3306","0.01"
"Feb 18, 2013","1.3352","1.3357","1.3377","1.3321","-0.08"
"Feb 19, 2013","1.3388","1.3352","1.3397","1.3329","0.27"
"Feb 20, 2013","1.3281","1.3387","1.3434","1.3270","-0.80"
"Feb 21, 2013","1.3189","1.3283","1.3291","1.3161","-0.69"
"Feb 22, 2013","1.3190","1.3190","1.3247","1.3146","0.01"
"Feb 25, 2013","1.3062","1.3175","1.3319","1.3047","-0.97"
"Feb 26, 2013","1.3062","1.3062","1.3121","1.3018","0.00"
"Feb 27, 2013","1.3139","1.3060","1.3148","1.3041","0.59"
"Feb 28, 2013","1.3056","1.3138","1.3163","1.3051","-0.63"
"Mar 01, 2013","1.3022","1.3055","1.3102","1.2967","-0.26"
"Mar 04, 2013","1.3026","1.3018","1.3032","1.2982","0.03"
"Mar 05, 2013","1.3051","1.3026","1.3077","1.3009","0.19"
"Mar 06, 2013","1.2967","1.3053","1.3072","1.2963","-0.64"
"Mar 07, 2013","1.3106","1.2967","1.3121","1.2967","1.07"
"Mar 08, 2013","1.3006","1.3107","1.3136","1.2957","-0.76"
"Mar 11, 2013","1.3045","1.2999","1.3054","1.2980","0.30"
"Mar 12, 2013","1.3034","1.3044","1.3076","1.2992","-0.08"
"Mar 13, 2013","1.2961","1.3034","1.3065","1.2923","-0.56"
"Mar 14, 2013","1.3005","1.2961","1.3033","1.2911","0.34"
"Mar 15, 2013","1.3076","1.3005","1.3109","1.2999","0.55"
"Mar 18, 2013","1.2956","1.2959","1.2997","1.2882","-0.92"
"Mar 19, 2013","1.2883","1.2957","1.2971","1.2845","-0.56"
"Mar 20, 2013","1.2933","1.2881","1.2978","1.2854","0.39"
"Mar 21, 2013","1.2898","1.2932","1.2956","1.2880","-0.27"
"Mar 22, 2013","1.2988","1.2898","1.3011","1.2889","0.70"
"Mar 25, 2013","1.2852","1.2972","1.3049","1.2830","-1.05"
"Mar 26, 2013","1.2861","1.2852","1.2890","1.2828","0.07"
"Mar 27, 2013","1.2780","1.2862","1.2868","1.2750","-0.63"
"Mar 28, 2013","1.2816","1.2780","1.2845","1.2755","0.28"
"Mar 29, 2013","1.2820","1.2816","1.2839","1.2793","0.03"
"Apr 01, 2013","1.2849","1.2814","1.2868","1.2771","0.23"
"Apr 02, 2013","1.2820","1.2847","1.2879","1.2809","-0.23"
"Apr 03, 2013","1.2851","1.2820","1.2865","1.2790","0.24"
"Apr 04, 2013","1.2936","1.2849","1.2950","1.2746","0.66"
"Apr 05, 2013","1.2990","1.2936","1.3041","1.2900","0.42"
"Apr 08, 2013","1.3009","1.2975","1.3039","1.2963","0.15"
"Apr 09, 2013","1.3082","1.3008","1.3104","1.3004","0.56"
"Apr 10, 2013","1.3070","1.3082","1.3123","1.3052","-0.09"
"Apr 11, 2013","1.3103","1.3069","1.3139","1.3044","0.25"
"Apr 12, 2013","1.3112","1.3098","1.3127","1.3037","0.07"
"Apr 15, 2013","1.3036","1.3134","1.3135","1.3023","-0.58"
"Apr 16, 2013","1.3178","1.3034","1.3203","1.3028","1.09"
"Apr 17, 2013","1.3030","1.3177","1.3203","1.3003","-1.12"
"Apr 18, 2013","1.3052","1.3031","1.3098","1.3022","0.17"
"Apr 19, 2013","1.3052","1.3050","1.3129","1.3046","0.00"
"Apr 22, 2013","1.3067","1.3079","1.3094","1.3015","0.11"
"Apr 23, 2013","1.2999","1.3066","1.3085","1.2973","-0.52"
"Apr 24, 2013","1.3016","1.2998","1.3035","1.2955","0.13"
"Apr 25, 2013","1.3013","1.3013","1.3094","1.2989","-0.02"
"Apr 26, 2013","1.3028","1.3013","1.3049","1.2992","0.12"
"Apr 29, 2013","1.3100","1.3032","1.3117","1.3028","0.55"
"Apr 30, 2013","1.3167","1.3098","1.3186","1.3056","0.51"
"May 01, 2013","1.3180","1.3169","1.3245","1.3161","0.10"
"May 02, 2013","1.3064","1.3180","1.3216","1.3037","-0.88"
"May 03, 2013","1.3115","1.3065","1.3160","1.3035","0.39"
"May 06, 2013","1.3076","1.3115","1.3143","1.3054","-0.30"
"May 07, 2013","1.3079","1.3075","1.3133","1.3068","0.02"
"May 08, 2013","1.3152","1.3079","1.3196","1.3072","0.56"
"May 09, 2013","1.3043","1.3154","1.3180","1.3011","-0.83"
"May 10, 2013","1.2993","1.3042","1.3051","1.2936","-0.38"
"May 13, 2013","1.2976","1.2957","1.2999","1.2942","-0.13"
"May 14, 2013","1.2920","1.2976","1.3030","1.2916","-0.43"
"May 15, 2013","1.2887","1.2919","1.2943","1.2843","-0.26"
"May 16, 2013","1.2882","1.2886","1.2930","1.2846","-0.04"
"May 17, 2013","1.2839","1.2881","1.2890","1.2796","-0.33"
"May 20, 2013","1.2883","1.2811","1.2902","1.2803","0.34"
"May 21, 2013","1.2906","1.2883","1.2934","1.2841","0.18"
"May 22, 2013","1.2858","1.2906","1.3000","1.2833","-0.37"
"May 23, 2013","1.2936","1.2857","1.2956","1.2821","0.61"
"May 24, 2013","1.2932","1.2938","1.2998","1.2906","-0.03"
"May 27, 2013","1.2932","1.2928","1.2951","1.2917","0.00"
"May 28, 2013","1.2856","1.2929","1.2951","1.2849","-0.59"
"May 29, 2013","1.2941","1.2857","1.2980","1.2840","0.66"
"May 30, 2013","1.3050","1.2940","1.3063","1.2934","0.84"
"May 31, 2013","1.2999","1.3053","1.3063","1.2947","-0.39"
"Jun 03, 2013","1.3076","1.2983","1.3108","1.2955","0.59"
"Jun 04, 2013","1.3081","1.3077","1.3104","1.3043","0.04"
"Jun 05, 2013","1.3094","1.3081","1.3115","1.3053","0.10"
"Jun 06, 2013","1.3247","1.3095","1.3306","1.3075","1.17"
"Jun 07, 2013","1.3223","1.3246","1.3285","1.3191","-0.18"
"Jun 10, 2013","1.3257","1.3207","1.3270","1.3177","0.26"
"Jun 11, 2013","1.3315","1.3257","1.3318","1.3232","0.44"
"Jun 12, 2013","1.3337","1.3314","1.3361","1.3266","0.17"
"Jun 13, 2013","1.3375","1.3336","1.3391","1.3278","0.28"
"Jun 14, 2013","1.3347","1.3375","1.3376","1.3294","-0.21"
"Jun 17, 2013","1.3369","1.3342","1.3382","1.3317","0.16"
"Jun 18, 2013","1.3394","1.3368","1.3416","1.3325","0.19"
"Jun 19, 2013","1.3295","1.3392","1.3415","1.3260","-0.74"
"Jun 20, 2013","1.3220","1.3296","1.3303","1.3163","-0.56"
"Jun 21, 2013","1.3123","1.3219","1.3254","1.3099","-0.73"
"Jun 24, 2013","1.3119","1.3117","1.3146","1.3060","-0.03"
"Jun 25, 2013","1.3085","1.3118","1.3151","1.3064","-0.26"
"Jun 26, 2013","1.3012","1.3081","1.3088","1.2984","-0.56"
"Jun 27, 2013","1.3037","1.3013","1.3058","1.3001","0.19"
"Jun 28, 2013","1.3010","1.3037","1.3105","1.2992","-0.21"
"Jul 01, 2013","1.3064","1.3006","1.3067","1.3001","0.42"
"Jul 02, 2013","1.2979","1.3065","1.3080","1.2964","-0.65"
"Jul 03, 2013","1.3009","1.2978","1.3032","1.2923","0.23"
"Jul 04, 2013","1.2913","1.3009","1.3024","1.2883","-0.74"
